,date,title
0,2022.08.01.,"강화군, SNS 통해 밀착 소통 앞장"
1,2022.08.01.,"[마감] 삼성전자, 약보합세 마감...초등학교 입학 연령 하향 추진에 교육주 강..."
2,2022.08.01.,"은평구, ‘하반기 민방위 보충교육’ 실시"
3,2022.08.01.,댄스듀오 라이언·춘식 돌아온다… 8월 컴백 예고
4,2022.08.01.,[현장EN:]질문하고 고찰하는 창작자 지코의 '개운한' 컴백
5,2022.08.01.,"ATBO 데뷔곡 '모노크롬(컬러)' 뮤비, 5일만에 2000만뷰 돌파 '무서운 신예'…..."
6,2022.08.01.,"[해양수산 뉴스] 수산자원공단, ‘부산어촌 서포터즈’ 발대식 外"
7,2022.08.01.,[미리보는 이데일리 신문] 공공기관 2차 지방이전...시작부터 졸속 우려
8,2022.08.01.,"대통령실 ""국민제안 상위 3건 선정 않기로…어뷰징 때문"""
9,2022.08.01.,"땅땅치킨, 안방극장 사로잡은 '미남당' 제작 지원"
10,2022.08.02.,"[마감] 한화에어로스페이스, 신고가 경신...펠로시 대만 방문에 '긴장 고조'"
11,2022.08.02.,"강원도 고성군, 코로나19 4차 접종 확대 추진"
12,2022.08.02.,"카카오페이 ""하반기 비개발 인력 채용 축소할 것"""
13,2022.08.02.,"이영진 헌법재판관, 골프 접대 의혹…""재판 도운 적 없다""(종합)"
14,2022.08.02.,"한국사형폐지범종교연합회, 사형제 위헌 결정 촉구"
15,2022.08.02.,"음식물처리기 판매몰 푸드타파, '31일까지 무이자 할부' 이벤트 진행"
16,2022.08.02.,"통일교 美 정치권 유착 의혹까지…""부시 전 대통령 연설 1회 13억 지급"""
17,2022.08.02.,"이영진 헌재 재판관, 골프 접대 의혹…""재판 도운 적 없다"""
18,2022.08.02.,"실수 하나에 날아간 승점 3점…울산, 서울과 1대1 무승부"
19,2022.08.02.,"카카오, 석달간 계열사 8개 신규 편입"
20,2022.08.03.,"비대위 반대한 김웅, '국힘 바로 세우기' 설문조사 나서…""공론장 기대"""
21,2022.08.03.,"[마감] LG에너지솔루션, 시총 100조원 재돌파...중국 대만 규제에 식품주 강세"
22,2022.08.03.,펠로시의 '대만 18시간'…中에 굴복안했지만 대만 긴장은 최고조
23,2022.08.03.,"윤 대통령·김건희 여사, 휴가 중 대학로 연극 관람…배우들과 만찬도"
24,2022.08.03.,與 비대위 속도전에 친이준석계 '집단 반격'…소송전·여론전 '총동원'
25,2022.08.03.,"尹 ""파출소 경찰관마다 권총 지급 검토…사격훈련 강화"""
26,2022.08.03.,"김웅 ""비대위 전환은 당 와해"" 당원 생각 묻는 설문조사 띄웠다"
27,2022.08.03.,기로에 선 창원 공영자전거 '누비자'
28,2022.08.03.,"""대출 금리 내려달라"" 수용률 26.6% 불과"
29,2022.08.03.,"코로나19 재유행, 의료대응여건 조성…동네 병·의원 중심 일반의료체계로 전..."
30,2022.08.04.,"코스피, 외인 매수에 0.47% 상승 마감...2,470선 회복"
31,2022.08.04.,"[마감] 카카오, 2분기 최대실적에 '강세'...위메이드, '위믹스3.0' 출시 기대..."
32,2022.08.04.,"카카오뱅크 플랫폼 강화로 상반기 사상 최대실적, 윤호영 연임 청신호"
33,2022.08.04.,[공연] 파포스 [대학로예술극장 소극장]
34,2022.08.04.,서울대 창업경진대회 ‘더비기닝 시즌 4’ 참가자 모집
35,2022.08.04.,[단독]'수사기밀 유출' 연루 檢 출신 쌍방울 임원 '긴급체포'(종합)
36,2022.08.04.,"중국→대만 미사일 5발, 엉뚱한 일본 수역에 낙하"
37,2022.08.04.,'1위는 다르다' SSG 투타 저력 빛난 역전승…키움은 LG에 밀려 3위로
38,2022.08.04.,"전능신교에 대한 경각심 커져…피해자들, ""가족 돌려달라"""
39,2022.08.04.,"카카오뱅크, 수신금리는 올리고 대출 금리는 내리고"
40,2022.08.05.,"[마감] 네이버, 2분기 실적 부진에 하락...원숭이두창 관련주 '강세'"
41,2022.08.05.,"[증권 리포트] DB ""KT&G, 강력한 방어력 재현""...대신 ""고려아연, 신사업 투자..."
42,2022.08.05.,"뉴욕증시 비트코인 휘청 ""너무 좋은"" 고용보고서 쇼크 FOMC 자이언트스텝 금리..."
43,2022.08.05.,"""북한 연구자에 대한 '국가보안법 위반' 압수수색, 공안정국의 신호탄"""
44,2022.08.05.,"미래에셋자산운용, ETF 연금 투자자 가이드북 발간"
45,2022.08.05.,"카카오뱅크, 첫 번째 지속가능경영 보고서 발간…ESG경영 기반 마련"
46,2022.08.05.,'尹 찍어내기' 재수사 본격화...징계 소송에도 영향주나
47,2022.08.05.,"쌍방울 '수사기밀 유출' 검찰 수사관·임원 구속 ""범죄혐의 소명"""
48,2022.08.05.,"[주간증시]“'땡큐 외인' 7거래일 매수…코스피 2,500선 코앞"
49,2022.08.05.,"'배신의 정치'에 쫓겨난 유승민 소환한 이준석…""후회없는 결말"" 법적 대응 검..."
50,2022.08.06.,"SBS '인기가요', 함성 금지 ""오랜 고민…안전 위해"""
51,2022.08.06.,대웅제약‧카카오페이‧한화에어로스페이스 [주간추천종목-SK증권]
52,2022.08.06.,"슈퍼셀, ‘클래시 오브 클랜’ 출시 10주년 맞이 콘텐츠 및 이벤트 공개"
53,2022.08.06.,"'승격팀에 잡힐 뻔' 리버풀, 풀럼과 힘겨운 무승부"
54,2022.08.06.,수원의 주인은 수원FC…수원더비에서 4대2 승리
55,2022.08.06.,"카카오, 국내 기업 최초로 ‘기술윤리 위원회’ 신설"
56,2022.08.06.,"부산CBS 영화음악 콘서트, '정두환의 여름바다 이야기' 성료"
57,2022.08.06.,"위메프오, 30% 저렴한 '근거리 배달' 도입…배달비 확 낮춘다"
58,2022.08.06.,"'대한민국 CEO 평판순위' 3위 정의선 회장, 2위 최태원 회장, 대망의 1위는?"
59,2022.08.06.,"청양군, '청양이' 이모티콘 카카오톡 무료 배포"
60,2022.08.07.,의정부시 ‘부대찌개골목 연계’ 체험-이벤트 풍성
61,2022.08.07.,인스타 팔로워 늘리기 무료 '퍼니그램' 품앗이 체계 도입
62,2022.08.07.,"경산시, 22일부터 긴급재난지원금 접수"
63,2022.08.07.,"이준석 ""8월 13일 기자회견""…비대위 가처분 신청 예고"
64,2022.08.07.,"벼랑끝 이준석, 잠행 깨고 ""13일 기자회견""…친이계 반발 확산(종합)"
65,2022.08.07.,"다누리 성공한 그날, 대전은 미래 우주를 향했다"
66,2022.08.07.,"오지환·플럿코 활약한 LG, 키움 꺾고 2위 수성…롯데는 8위 추락"
67,2022.08.07.,"""진짜 억울하다"" 유흥탐정 논란…男女 갈등도"
68,2022.08.07.,"창원시, 일본 최대 명절맞아 국화 25만본 수출"
69,2022.08.07.,"홍남표 창원시장, 환경부 장관에 수돗물 비상연계관로 국비 지원 건의"
70,2022.08.08.,"""비가 이 정도일 줄이야"" 비구름 남하…경기남부도 비 피해"
71,2022.08.08.,중부지방 80년 만의 폭우…곳곳서 도로통제·침수피해(종합)
72,2022.08.08.,"마켓컬리, 추석 선물 미리 준비 최대 70% 할인"
73,2022.08.08.,"가상화폐로 결제하는 치킨, 윤홍근 제네시스 BBQ 회장의 실험은 계속된다"
74,2022.08.08.,"현대차와 인도서 상표 분쟁 국내업체 ""상표권 도용 아니다"""
75,2022.08.08.,"우마무스메 추가 예정 카드 '유키노 비진', 얻어야 할까?"
76,2022.08.08.,"농심켈로그, 수능 D-100 기념 온라인 프로모션 진행"
77,2022.08.08.,"에듀윌 공인중개사 김포학원, 전문 상담 매니저의 심층 상담으로 최적의 학습..."
78,2022.08.08.,[속보]서울 잠수교 양방향 보행자·차량 전면통제
79,2022.08.08.,"카카오뱅크, 고객 2000만명 눈앞...출범 5주년 성과는?"
80,2022.08.09.,"유니엄(UNIUM), 클레이튼 NFT 마켓 플레이스 오픈 및 '플렉스티비' IP를 활용"
81,2022.08.09.,"산사태 나고, 하천 범람하고…경기도 4명 사망·2명 실종"
82,2022.08.09.,"올림픽대로 가양대교-동작대교 전면 통제…""한강 수위 상승"""
83,2022.08.09.,노들로 당산역→여의하류IC 구간 통제…서울 내 6곳 통제
84,2022.08.09.,토사 무너지고 다리 잠기고...영상으로 본 비 피해
85,2022.08.09.,9가지 건강 미션 도전! '#슬기로운식생활 빙고 챌린지' 운영
86,2022.08.09.,"한국기독교장로회, 서대문 선교교육원 개발 본격화"
87,2022.08.09.,"[마감] 삼성전자, 장중 6만원 밑돌아...롯데손해보험 등 하락"
88,2022.08.09.,"박진 ""화이부동"" 왕이 ""내정간섭 반대""…한중 외교장관회담"
89,2022.08.09.,차고 높은 버스도 잠겼다…제보 영상에 담긴 기록적 폭우
90,2022.08.10.,"[마감] 삼성전자, 또 6만원선 붕괴...사우디 왕세자 방한 기대 건설주 '강세'"
91,2022.08.10.,"창원시, '대한민국 관광박람회'에서 마산국화축제 홍보"
92,2022.08.10.,[뉴스나이트] 침수에 나타난 영웅들... 우리 동네 슈퍼맨을 소개합니다.
93,2022.08.10.,"[모바일 게임 이용자 순위] 8월 1주차, '세나 레볼루션' 7위→12위"
94,2022.08.10.,"카카오노조 “MBK, 국민연금 손잡고 카카오모빌리티 인수하려해”"
95,2022.08.10.,충북 청주 시간당 30~50㎜ '물폭탄'…5년전 악몽에 주민들 사투[영상]
96,2022.08.10.,"'오딘' 개발사 대표, 카카오게임즈 2대 주주 된다"
97,2022.08.10.,보다 강력해진 통합 건강관리…갤럭시 워치5 시리즈 출시
98,2022.08.10.,"尹대통령, 빌 게이츠와 16일 용산서 만난다"
99,2022.08.10.,카카오게임즈 1966억원 유증…'오딘' 개발사 참여
100,2022.08.11.,"음식물처리기 업체 푸드타파, 홈체험 서비스 진행"
101,2022.08.11.,"""국내 첫 휴대전화 생산"" 노키아TMC, 창원시에 유물 기증"
102,2022.08.11.,"홍남표 시장·김영선 의원, 팔용배수장 등 폭우 대비 현장점검"
103,2022.08.11.,"이준석, 여권 지지율 하락 빗대 ""쌓는 건 2년, 무너지는 건 2주"""
104,2022.08.11.,폭염에 열심히도 뛰었건만 … 무정차 시내버스에 '분통'
105,2022.08.11.,"넷마블 '제2의 나라' 에어리즈 스튜디오 '살르', ＂우리는 한다 예술!＂"
106,2022.08.11.,"이현재 하남시장, 코로나19 확산 예방 캠페인 ""예방접종 부탁드려요"""
107,2022.08.11.,"中, 대만해협 정기 순찰 의도는…'중간선 상시 무력화'(종합)"
108,2022.08.11.,[미리보는 이데일리 신문]비전·협치·반성 ‘3無 정부’
109,2022.08.11.,[재송] 11일 장 마감 후 주요 종목 뉴스
110,2022.08.12.,"대구시교육청, 3년 연속 정부혁신 우수 정책 선정"
111,2022.08.12.,"카카오-김범수 센터장, 집중호우 피해 복구 위해 20억원 기부"
112,2022.08.12.,"[마감] 삼성전자, 이재용 특별사면 6만원선 회복...SK바이오사이언스, 빌 게이..."
113,2022.08.12.,"검찰, 네이버 압수수색...부동산 서비스 경쟁사 방해 의혹"
114,2022.08.12.,"검찰, 네이버 본사 압수수색… 부동산 매물 정보 갑질 혐의"
115,2022.08.12.,"국방부, 한·미 양국 군사당국 ""국방 ICT 정책 상호협력 강화"""
116,2022.08.12.,"충주시, 2022 정기분 주민세 28억 원 부과"
117,2022.08.12.,MSCI 지수에서 SK텔레콤 제외...카카오페이 편입 불발
118,2022.08.12.,"정부 ‘원스톱 진료기관, 재택치료, 병상 현황 및 개선방안’ 추진"
119,2022.08.12.,"전남도, 추석 명절 ‘솔찬한 상상추(秋)월’ 기획전 진행"
120,2022.08.13.,"""아이폰 쓰는 MZ 홀리겠네""…'갤Z플립4' 2030 취향저격 이유 [배성수의 다다I..."
121,2022.08.13.,"이연희, 짦은 머리 처음 아닌가요? '숏컷 여신'은 구겨진 티셔츠까지 힙하네!"
122,2022.08.13.,"도(道) 넘은 이준석…""대통령‧원내대표 권력자에 씹어 돌림 당했다"""
123,2022.08.13.,"오후 9시까지 전국 11만6천명 확진, 어제보다 3042명↓"
124,2022.08.13.,"이연희, 헤어 스타일 바꾸고 확 달라진 분위기 '보이시하네'"
125,2022.08.13.,"김두관 국회의원, 민주당 경남도당위원장 당선…""영남민주당 복원 선봉"""
126,2022.08.13.,"""폴더블폰은 무겁던데…"" 다이어트 성공한 199만원 '갤폴드4' [배성수의 다다..."
127,2022.08.13.,안마 받으며 낮잠...호텔 뺨치는 IT업계 신사옥
128,2022.08.13.,이준석이 말한 '삼성가노'란? 눈물 보이며 윤핵관 거론
129,2022.08.13.,민주당 부산시당위원장에 서은숙 전 부산진구청장
130,2022.08.14.,14일 밤 9시 확진자 5만 9790명…전주 대비 1.12배
131,2022.08.14.,"한때 부러움의 대상 우리사주, 1년 만에 골칫거리로"
132,2022.08.14.,금융사-핀테크기업 '전략적 상생' 박차
133,2022.08.14.,여성이 좋아하는 손보사 1위 '현대해상'
134,2022.08.14.,일제강점기 '민족교육'을 내세운 선교사…우리암·우광복 부자
135,2022.08.14.,시를 쓰는 이유
136,2022.08.14.,"이성희 농협중앙회장, 횡성 호우 피해 농가 방문"
137,2022.08.14.,‘편안함의 끝판왕’… SUV 넉넉함·세단의 승차감 다 갖췄네
138,2022.08.14.,"민주당 세종시당 홍성국 의원, 신임 시당위원장 선출"
139,2022.08.14.,민주당 대전시당위원장에 황운하 의원 선출
140,2022.08.15.,"KBS, 매체 영향력·신뢰도 1위"
141,2022.08.15.,"윤 대통령 ""오늘부터 각별한 경각심""…집중호우 점검회의"
142,2022.08.15.,"땅땅치킨, 월화드라마 '미남당' 제작지원"
143,2022.08.15.,[권만우칼럼]웹3.0시대의 시빅뉴스가 나아가야 할 길
144,2022.08.15.,어제보다 2만여명↑…오후 9시까지 8만여명 확진
145,2022.08.15.,"고 이예람 특검팀, '녹취 조작' 혐의 변호사 구속"
146,2022.08.15.,"반등장서 개미 '헛손질'…기관, 외국인 '적시타'"
147,2022.08.15.,‘온라인 플랫폼 소통’ 다시 꺼내든 이재명 “특검·탄핵도 당원 청원·투표...
148,2022.08.15.,"전광훈 필두 보수단체, 광복절 '집회 불허' 광화문광장 점령"
149,2022.08.15.,"대구시, 주민세 개인분 납부기한은 31일 까지"
150,2022.08.16.,"전동킥보드 불편 신고 ‘간편하게’…전주시, 카카오톡 채널 운영"
151,2022.08.16.,"[증권소식] 정일문, 상반기 51억원 금융권 '연봉킹'/오픈엣지, 증권신고서 제..."
152,2022.08.16.,"‘어쩌다 전원일기’, 메인 포스터 공개…싱그러운 청춘 박수영X추영우X백성철"
153,2022.08.16.,"""오픈 4개월 만에""...용인시 캐릭터 '조아용' 굿즈 판매금액 1억원 달성!"
154,2022.08.16.,카카오 조수용·여민수 상반기 보수 300억대...신동빈 102억
155,2022.08.16.,"방통위, '특정 결제방식 강제' 구글 등 사실조사 개시"
156,2022.08.16.,용인특례시 캐릭터 ‘조아용’ 굿즈 판매금액 1억원 달성
157,2022.08.16.,"쿤텍, 성남시 청소년 재단에 AI기반 데이터 수집·분석 플랫폼 '미백 서베이'..."
158,2022.08.16.,"[마감] 현대모비스, 사업분할·자회사 신설 소식 '하락'...삼양식품, 호실적에..."
159,2022.08.16.,오시리아 관광단지 보행육교 22일 개통
160,2022.08.17.,"[증권소식] 거래소, 공매도 과열 종목 지정 확대/ TIGER ETF, 순자산 30조 돌..."
161,2022.08.17.,"“구글 통해 韓기업 달성한 편익, 19조원 넘는다”"
162,2022.08.17.,"[모바일 게임 이용자 순위] 8월 2주차, '마크' 6달만에 10위 복귀"
163,2022.08.17.,"[마감] 비덴트, 관리종목 지정에 '급락'...쌍방울, 역대 최저가 추락"
164,2022.08.17.,"이준석 ""삼권분립의 위기""…법원서 尹 위헌성 '직격'"
165,2022.08.17.,"김건희식 표절 흔하다는 신평 '직격'…""지도 논문 전수조사해야"""
