title,label
삼성 준법위-사업지원 TF 회동…콘트롤타워 부활 논의했나,1
"삼성전자, 장애인 직원 채용 자회사 만든다…일자리 창출",1
"삼성전자, 자회사형 장애인 표준사업장 만든다",1
"한국남동발전-삼성전자, '탄소중립' 함께 달린다",1
"삼성 임원들, 격려금 100억 모아 헌혈버스 4대 기부",1
"삼성전자 찾은 민주당 “韓기업, 미·중 패권 희생양 안되도록 할 것”",0
세계 1등 한국제품 몇개일까…“삼성전자가 올킬”,1
"국내 100대기업 내 여성 임원, 400명 돌파…삼성전자 최다",0
"삼성, 대한적십자사에 '헌혈버스' 4대 기증…이재용 '동행 철학' 실천",1
세계 1·2위면 뭐하나… 창고에 쌓이는 삼성·LG TV,2
"삼성家 저격 '삼성생명법', 2년 만의 부활?",2
세계에서 팔린 TV 3대 중 1대는 삼성…누적 점유율 1위,1
"삼성전자, e식품관 '100만 방문' 기념 고객 감사 기획전",0
품질경영대회 은탑훈장에 TV 16년 1위 삼성전자 김형남 부사장,1
"삼성 TV, 글로벌 점유율 1위...LG는 10년 연속 'OLED 왕좌' 예약",1
"삼성전자, 메모리 한파에 세계 반도체 1위 자리 인텔에 내줬다",2
"NH농협은행, '김치의 날' 맞아 삼성전자와 김장 및 쌀 나눔 행사 실시",0
"""번 돈 절반 썼다""…삼성·SK·롯데 대기업도 줄줄이 '비명'",2
"민주, 삼성전자 공장 방문…미중 경쟁 산업계 전략 점검",0
"삼성 네오 QLED 4K TV, 유럽 IoT기기 보안 표준 인증 획득",1
"애플, 삼성전자 낸드플래시 도입 가능성↑…  中 견제 영향",0
"삼성 경계현이 주목한 자이스, 韓 480억 R&amp;D 투자",0
"민주당 민생대책위 ""반도체 경쟁 살얼음판…삼성전자 역할 중요""",2
‘삼성 저격수’ 박용진이 발의한 ‘삼성생명법’…정무위 법안소위 상정,0
"블랙프라이데이 맞아 삼성·LG, 북미 TV 판촉 '사활'",1
"[단독] “최고 속도·최저 전력” 삼성전자, 20년 공들인 차세대 ‘M램’ 공개",1
"[종합] 中 강세에도 전 세계 휩쓴 'K-TV'…삼성·LG, 점유율 절반 차지",1
"""믿었던 서버용 메모리마저""..삼성·SK '반도체 혹한기'",2
"""2년 더 일했는데 신입 연봉이랑 같다니…"" 삼성 직원의 분노",2
