,date,title,contents
0,2022/08/01,"강화군, SNS 통해 밀착 소통 앞장",군은 ‘강화군청 카카오채널’를 활용해 군민에게 생활밀착형 정보를 알기 쉽게 설명하고 현장의 목소리에 귀를 기울이는 정보 제공으로 ‘소통의 방’ 역할을 하고 있다. ‘강화군청 카카오채널’은 블로그...
1,2022/08/01,"은평구, ‘하반기 민방위 보충교육’ 실시","교육대상자에게는 공인전자문서중계자(카카오페이, 네이버, KT)를 통해 모바일 교육통지서를 발송할 예정이다. 자세한 교육 일정은 통지서를 확인하면 된다. 기초생활보장수급자 등 자체교육 인정자와 온라인교육..."
2,2022/08/01,"[마감] 삼성전자, 약보합세 마감...초등학교 입학 연령 하향 추진에 교육주 강...","LG에너지솔루션(-0.59%), SK하이닉스(-0.82%), 카카오(-1.07%), 기아(-0.99%) 등은 소폭 하락했다. 삼성전자(-0.16%)는 약보합세로 마감했다. 국제 신용평가사 스탠더드앤드푸어스(S&amp;P)는 이날 보고서를 통해 ""인플레이션..."
3,2022/08/01,댄스듀오 라이언·춘식 돌아온다… 8월 컴백 예고,라이언&amp;춘식 ‘후즈 넥스트’ 티저 포스터 카카오프렌즈의 인기 댄스듀오 라이언&amp;춘식(이하 라춘듀오)이 8월 12일 컴백한다. 8개월 만이다. 소속사 카카오는 1일 자정 공식 SNS 채널들을 통해 통해 라춘듀오의 ‘후즈...
4,2022/08/01,[현장EN:]질문하고 고찰하는 창작자 지코의 '개운한' 컴백,"오는 4일 엠넷 '엠카운트다운'이 첫 방송이다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
5,2022/08/01,"ATBO 데뷔곡 '모노크롬(컬러)' 뮤비, 5일만에 2000만뷰 돌파 '무서운 신예'…...","카카오엔터테인먼트 산하 음악 레이블로 에이핑크, 빅톤, 더보이즈, 위클리 등이 소속된 IST엔터테인먼트가 새롭게 선보이는 ATBO는 오준석, 류준민, 배현준, 석락원, 정승환, 김연규, 원빈까지 탄탄한 실력과 뛰어난..."
6,2022/08/01,[미리보는 이데일리 신문] 공공기관 2차 지방이전...시작부터 졸속 우려,"음류-주류 불티 -‘굴욕’ 스타벅스, 중고거래-정부도 손절 -읽은 시만 1만 3000여편...카카오AI, 시인 데뷔 -과기부 “휴대용 목, 손 선풍기 전자파, 인체에 안전” △15면 -종근당 “케이캡 불확실성, 지텍-누보로젯으로..."
7,2022/08/01,"[해양수산 뉴스] 수산자원공단, ‘부산어촌 서포터즈’ 발대식 外","한편, IPA는 국민들이 쉽게 정책제안을 할 수 있도록 △국민제안 바다(누리집) △인천항 안전해(카카오톡 채널) △인천항 협력해(카카오톡 채널) 등의 소통채널을 운영하고 있다. ◆KIOST, 미국 선급협회(ABS) 선박..."
8,2022/08/01,"대통령실 ""국민제안 상위 3건 선정 않기로…어뷰징 때문""","임대인의 세금 완납 증명서 첨부 의무 신설 등이 포함됐다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
9,2022/08/01,"땅땅치킨, 안방극장 사로잡은 '미남당' 제작 지원","서인국과 오연서가 주연으로 출연 중인 KBS 2TV 월화드라마 '미남당'은 전직 프로파일러이자 현직 박수무당이 펼치는 좌충우돌 미스터리 코믹 수사 극이며, 카카오페이지에서 15만 독자를 달성한 정재한 작가의 화제작..."
10,2022/08/01,시 쓰고 그림 그리고… 예술영역 넘보는 AI,카카오의 AI 개발 자회사 카카오브레인은 미디어아트 그룹 슬릿스코프와 함께 시 쓰는 AI 모델 ‘시아’를 개발하고 시아가 쓴 첫 시집 ‘시를 쓰는 이유’를 오는 8일 출간한다고 1일 밝혔다. 시아는 카카오브레인의...
11,2022/08/01,"권영세 ""탈북민 '전원 수용' 원칙, 필요하면 尹에도 건의""","수용해) 우리 사법절차에 따라 심사했어야 했다""고 강조했다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
12,2022/08/01,"경북도, 고독사 예방 시법사업 실시","또 사각지대 발굴의 날(매월 둘째주), 경북 마음안심 서비스(스마트폰 사용시간 감지로 고독사 위험을 알리는 스마프폰 앱), 카카오톡 희망톡방(위험신고방) 개설, 사각지대 발굴·운영 지원사업 등도 추진해 왔다.도는..."
13,2022/08/01,예천 새로운 명소 ‘금당마루’ 카페 OPEN,"‘금당마루’는 예천군 농촌활력지원센터에 위탁해 운영 되며 커피 등 20여 종류 음료 외에 시골 정취가 묻어나는 가래떡 구이, 가나에서 직수입하는 카카오로 만든 카카오 강정 등 특색있는 메뉴로 관광객과 주민들의..."
14,2022/08/01,‘환경·사회 문제 개선하세요’…자산운용사가 달라졌다,메리츠자산운용은 지난해 카카오에 탄소 배출량 정보와 기후변화 대응 목표와 전략 등이 담긴 탄소정보 공개(CDP) 요구에 3년 동안 응답하지 않은 사유를 공개하라고 압박했다. 이에 카카오는 “2021년까지 환경 데이터를...
15,2022/08/01,요즘 핫한 브랜드라면 꼭 만드는 ‘브랜드 다큐’ 4,"브랜드의 팬이 아니어도 진지하게 보게 되는 토스, 오늘의집, 무신사, 카카오의 브랜드 다큐 모음. 토스 라는... 카카오 &lt;카카오의 상상법&gt;이라는 제목이 인상적인 카카오의 브랜드 다큐멘터리는 'if?'라는 물음을 통해..."
16,2022/08/01,"""국내선 왕복 항공권 예매시 10% 할인""","농협카드로 10만원 이상 결제 시 1만원, 5만원 이상 결제 시 5천원 할인 적용되는 쿠폰을 제공하며, 티웨이페이로 15만원 이상 결제 시 1만원 할인, 카카오페이로 20만원 이상 결제 시 5천원, 50만원 이상 결제 시 2만원..."
17,2022/08/01,"QR코드로 간편 대여…‘타슈2’ 직접 타보니 “편해졌는데, 타려고 보면 없슈...","거기에 타슈2를 세우고 잠금장치를 잠그고 나자, 카카오톡을 통해 ‘고객님의 반납이 완료됐습니다’라는 메시지가 왔다. 요금은 ‘0원’으로 떴다. 대전시는 지난 1월1일부터 타슈의 초기 1시간 이용요금을 무료화한..."
18,2022/08/01,"코스피, 외인과 개인 매수에 상승 마감…삼성SDI, LG화학 상승 VS 카카오, 기...","46%), LG화학(1.66%), 삼성바이오로직스(1.50%)를 제외하고 하락 마감했다. 카카오(-1.07%), 기아(-0.99%), SK하이닉스(-0.82%), LG에너지솔루션(-0.59%), 삼성전자(-0.16%) 등이 하락 마감했다."
19,2022/08/01,예천 금당실 마을 금당마루 카페 문열어,"커피 등 20여 종류 음료 외에 시골 정취가 묻어나는 가래떡 구이, 가나에서 직수입하는 카카오로 만든 카카오 강정 등 특색있는 메뉴로 관광객과 주민들의 입맛을 사로잡을 계획이다. 특히 이전의 금당주막을 카페로..."
20,2022/08/02,"[마감] 한화에어로스페이스, 신고가 경신...펠로시 대만 방문에 '긴장 고조'","89%), 카카오(-2.97%) 등이 하락했다. 삼성전자(0.65%), 현대차(0.26%), 기아(1.00%) 등이 상승했다.... HLB(3.26%), 카카오게임즈(0.20%), 알테오젠(0.16%), 스튜디오드래곤(2.82%)은 상승했다. 아스플로는 무상증자 권리락에 따른..."
21,2022/08/02,"카카오페이 ""하반기 비개발 인력 채용 축소할 것""","카카오페이가 남은 하반기 비개발 인력 채용 계획을 축소한다. 신원근 카카오페이 대표는 2일 오후 진행된 2분기 실적 컨퍼런스 콜에서 ‘인플레이션, 환율 상승 등 변화된 경제 상황에 대처하기 위해 하반기에..."
22,2022/08/02,"강원도 고성군, 코로나19 4차 접종 확대 추진","단 출국 및 입원·치료 등 개인 사유가 있을 때는 3차 접종 후 3개월(90일) 이후에도 접종할 수 있으며, 확진자는 감염 후 3개월 이후에 가능하다.접종 대상자는 25일부터 카카오톡·네이버를 통해 잔여 백신을..."
23,2022/08/02,"이영진 헌법재판관, 골프 접대 의혹…""재판 도운 적 없다""(종합)","생각한다는 점을 다시 한번 말씀드린다""고 고개를 숙였다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
24,2022/08/02,"한국사형폐지범종교연합회, 사형제 위헌 결정 촉구","CBS뉴스 오요셉입니다. [영상기자 정용현] [영상편집 김다솔] ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
25,2022/08/02,"음식물처리기 판매몰 푸드타파, '31일까지 무이자 할부' 이벤트 진행","동작되는 것으로 알려져 있으며 처리 중 과도한 소음이나 악취의 발생을 최소화한 제품이라고 한다. 푸드타파 관계자는 ""금번 이벤트에 대한 보다 자세한 사항은 푸드타파 카카오톡센터로 문의를 부탁드린다""라고 말했다."
26,2022/08/02,"통일교 美 정치권 유착 의혹까지…""부시 전 대통령 연설 1회 13억 지급""","신자들뿐만아니라 정치권도 이용당하고 있다는 이야기다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
27,2022/08/02,"이영진 헌재 재판관, 골프 접대 의혹…""재판 도운 적 없다""","2018년 바른미래당의 추천으로 헌법재판관에 임명됐다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
28,2022/08/02,"실수 하나에 날아간 승점 3점…울산, 서울과 1대1 무승부","성남FC는 제주 유나이티드를 2대1로 꺾고, 2연승을 달렸다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
29,2022/08/02,"카카오, 석달간 계열사 8개 신규 편입",가운데 카카오가 가장 많은 계열사를 편입한 것으로 나타났다. 2일 공정거래위원회가 공개한 ‘5∼7월 대규모기업집단 소속회사 변동 현황’을 보면 카카오는 3개월간 8개 계열사를 신규편입했다. 이는 같은 기간...
30,2022/08/02,‘시중은행보다 금리 낮네’ 인터넷은행 가계대출 7개월째 증가,"카카오뱅크와 케이뱅크 등 인터넷전문은행의 가계대출 잔액이 7개월 연속 증가했다. 2일 은행권에 따르면 카카오뱅크와 케이뱅크의 지난달 말 여신 잔액은 각각 26조9504억원, 9조1600억원으로 집계됐다. 전달 대비..."
31,2022/08/02,"[동향] 배송 경쟁 분화, 각자 잘할 수 있는 곳에 진지 구축중","이외에도 카카오모빌리티, 팀프레시, 메쉬코리아에 투자했다. 딜리버리히어로코리아 인수로 인한 시너지 효과로 퀵커머스 게임체인저로 여겨졌다. GS25나 GS슈퍼마켓 등을 MFC로 활용하는 시너지 효과가 예상됐기..."
