일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/09/19","56400","200","0.36","56300","57000","56000","12278653","693636680000","336695735820000","5969782550"
"2022/09/16","56200","200","0.36","55600","56400","55500","13456503","752455682838","335501779310000","5969782550"
"2022/09/15","56000","-800","-1.41","57000","57100","56000","11664819","657641711500","334307822800000","5969782550"
"2022/09/14","56800","-1300","-2.24","56200","57200","56100","12524961","709906007000","339083648840000","5969782550"
"2022/09/13","58100","2500","4.50","57000","58500","56800","17166581","991015891355","346844366155000","5969782550"
"2022/09/08","55600","-400","-0.71","56200","56400","55600","18000016","1006366398000","331919909780000","5969782550"
"2022/09/07","56000","-1100","-1.93","56700","56700","55900","17384854","975695179700","334307822800000","5969782550"
"2022/09/06","57100","0","0.00","57200","57600","56900","7503086","429152038700","340874583605000","5969782550"
"2022/09/05","57100","-400","-0.70","57400","57800","56800","11425977","653884056584","340874583605000","5969782550"
"2022/09/02","57500","-900","-1.54","58300","58600","57500","15040310","872040367551","343262496625000","5969782550"
"2022/09/01","58400","-1300","-2.18","58700","58900","58300","14905777","872374620601","348635300920000","5969782550"
"2022/08/31","59700","900","1.53","58200","59900","58200","14203512","841319635900","356396018235000","5969782550"
"2022/08/30","58800","200","0.34","58700","59000","58300","9690044","567627668500","351023213940000","5969782550"
"2022/08/29","58600","-1400","-2.33","58700","58900","58600","9841329","577684200900","349829257430000","5969782550"
"2022/08/26","60000","300","0.50","60300","60900","59900","9499995","573040309950","358186953000000","5969782550"
"2022/08/25","59700","700","1.19","59200","59700","59000","5767902","342780937200","356396018235000","5969782550"
"2022/08/24","59000","-100","-0.17","59200","59500","59000","8888486","525406965200","352217170450000","5969782550"
"2022/08/23","59100","-900","-1.50","59000","59600","59000","9041629","535657353300","352814148705000","5969782550"
"2022/08/22","60000","-900","-1.48","60300","60400","59800","8259865","495732266100","358186953000000","5969782550"
"2022/08/19","60900","-600","-0.98","61400","61600","60600","6923679","421908759900","363559757295000","5969782550"
"2022/08/18","61500","1100","1.82","60300","61900","60000","16372754","997986949000","367141626825000","5969782550"
"2022/08/17","60400","-600","-0.98","61100","61200","60300","9061518","550059085700","360574866020000","5969782550"
"2022/08/16","61000","800","1.33","60500","61600","60300","15036727","917516142200","364156735550000","5969782550"
"2022/08/12","60200","300","0.50","59500","60700","59400","10786658","648793200100","359380909510000","5969782550"
"2022/08/11","59900","800","1.35","59600","60000","59300","15141941","903738904000","357589974745000","5969782550"
"2022/08/10","59100","-900","-1.50","58900","59200","58600","18084349","1065592854894","352814148705000","5969782550"
"2022/08/09","60000","-800","-1.32","60600","60700","59600","18251170","1094260322600","358186953000000","5969782550"
"2022/08/08","60800","-700","-1.14","61400","61400","60600","11313150","689020306900","362962779040000","5969782550"
"2022/08/05","61500","0","0.00","61700","61900","61200","9567620","588582544800","367141626825000","5969782550"
"2022/08/04","61500","200","0.33","61700","61800","61200","9125439","561835808800","367141626825000","5969782550"
"2022/08/03","61300","-400","-0.65","61600","61600","61000","10053861","615480978400","365947670315000","5969782550"
"2022/08/02","61700","400","0.65","61200","61900","61000","13614895","837567187000","368335583335000","5969782550"
"2022/08/01","61300","-100","-0.16","61000","61700","60300","13154816","803034710500","365947670315000","5969782550"
